# Time[s], Head[m]
46140,1.93E-01
46200,1.92E-01
46260,1.90E-01
46320,1.88E-01
46380,1.86E-01
46440,1.84E-01
46500,1.82E-01
46560,1.81E-01
46620,1.79E-01
46680,1.77E-01
46740,1.75E-01
46800,1.74E-01
46860,1.72E-01
46920,1.70E-01
46980,1.68E-01
47040,1.65E-01
47100,1.63E-01
47160,1.62E-01
47220,1.60E-01
47280,1.58E-01
47340,1.57E-01
47400,1.55E-01
47460,1.52E-01
47520,1.50E-01
47580,1.49E-01
47640,1.46E-01
47700,1.45E-01
47760,1.43E-01
47820,1.41E-01
47880,1.39E-01
47940,1.38E-01
48000,1.36E-01
48060,1.34E-01
48120,1.32E-01
48180,1.31E-01
48240,1.29E-01
48300,1.27E-01
48360,1.25E-01
48420,1.24E-01
48480,1.22E-01
48540,1.20E-01
48600,1.18E-01
48660,1.16E-01
48720,1.14E-01
48780,1.11E-01
48840,1.09E-01
48900,1.06E-01
48960,1.05E-01
49020,1.02E-01
49080,1.01E-01
49140,9.83E-02
49200,9.60E-02
49260,9.28E-02
49320,9.05E-02
49380,8.81E-02
49440,8.53E-02
49500,6.57E-02
49560,3.07E-02
49620,1.50E-02
49680,5.00E-03
49740,5.00E-03
49800,5.00E-03
49860,5.00E-03
49920,5.00E-03
49980,5.00E-03
50040,5.00E-03
50100,5.00E-03
50160,5.00E-03
50220,5.00E-03
50280,5.00E-03
50340,5.00E-03
50400,5.00E-03
50460,5.00E-03
50520,5.00E-03
50580,5.00E-03
50640,5.00E-03
50700,5.00E-03
50760,5.00E-03
50820,5.00E-03
50880,5.60E-03
50940,5.50E-03
51000,5.30E-03
51060,5.50E-03
51120,5.30E-03
51180,5.50E-03
51240,5.50E-03
51300,5.50E-03
51360,5.30E-03
51420,5.20E-03
51480,5.60E-03
51540,5.30E-03
51600,5.60E-03
51660,5.60E-03
51720,5.60E-03
51780,5.60E-03
51840,5.30E-03
51900,5.30E-03
51960,5.60E-03
52020,5.50E-03
52080,5.20E-03
52140,5.50E-03
52200,5.50E-03
52260,5.20E-03
52320,5.50E-03
52380,5.30E-03
52440,5.50E-03
52500,5.20E-03
52560,5.50E-03
52620,5.20E-03
52680,5.60E-03
52740,5.50E-03
52800,5.50E-03
52860,5.60E-03
52920,5.50E-03
52980,5.30E-03
53040,5.30E-03
53100,5.70E-03
53160,5.30E-03
53220,4.22E-02
53280,6.80E-02
53340,7.52E-02
53400,7.84E-02
53460,8.08E-02
53520,8.44E-02
53580,8.76E-02
53640,9.16E-02
53700,9.53E-02
53760,9.99E-02
53820,1.05E-01
53880,1.11E-01
53940,1.21E-01
54000,1.28E-01
54060,1.36E-01
54120,1.43E-01
54180,1.49E-01
54240,1.55E-01
54300,1.61E-01
54360,1.66E-01
54420,1.72E-01
54480,1.77E-01
54540,1.83E-01
54600,1.89E-01
54660,1.94E-01
54720,2.00E-01
54780,2.05E-01
54840,2.11E-01
54900,2.16E-01
54960,2.22E-01
55020,2.28E-01
55080,2.34E-01
55140,2.40E-01
55200,2.45E-01
55260,2.51E-01
55320,2.57E-01
55380,2.61E-01
55440,2.63E-01
55500,2.64E-01
55560,2.65E-01
55620,2.65E-01
55680,2.65E-01
55740,2.65E-01
55800,2.65E-01
55860,2.65E-01
55920,2.66E-01
55980,2.66E-01
56040,2.65E-01
56100,2.66E-01
56160,2.65E-01
56220,2.66E-01
56280,2.66E-01
56340,2.66E-01
56400,2.66E-01
56460,2.65E-01
56520,2.66E-01
56580,2.65E-01
56640,2.65E-01
56700,2.65E-01
56760,2.62E-01
56820,2.58E-01
56880,2.56E-01
56940,2.54E-01
57000,2.52E-01
57060,2.49E-01
57120,2.47E-01
57180,2.46E-01
57240,2.43E-01
57300,2.42E-01
57360,2.39E-01
57420,2.38E-01
57480,2.35E-01
57540,2.33E-01
57600,2.31E-01
57660,2.29E-01
57720,2.27E-01
57780,2.25E-01
57840,2.24E-01
57900,2.21E-01
57960,2.20E-01
58020,2.17E-01
58080,2.16E-01
58140,2.14E-01
58200,2.12E-01
58260,2.10E-01
58320,2.08E-01
58380,2.06E-01
58440,2.04E-01
58500,2.02E-01
58560,2.00E-01
58620,1.98E-01
58680,1.97E-01
58740,1.95E-01
58800,1.93E-01
58860,1.91E-01
58920,1.89E-01
58980,1.88E-01
59040,1.86E-01
59100,1.84E-01
59160,1.82E-01
59220,1.80E-01
59280,1.78E-01
59340,1.77E-01
59400,1.75E-01
59460,1.72E-01
59520,1.70E-01
59580,1.69E-01
59640,1.67E-01
59700,1.65E-01
59760,1.63E-01
59820,1.61E-01
59880,1.60E-01
59940,1.58E-01
60000,1.56E-01
60060,1.53E-01
60120,1.52E-01
60180,1.50E-01
60240,1.48E-01
60300,1.46E-01
60360,1.45E-01
60420,1.43E-01
60480,1.41E-01
60540,1.40E-01
60600,1.38E-01
60660,1.36E-01
60720,1.34E-01
60780,1.32E-01
60840,1.31E-01
60900,1.29E-01
60960,1.27E-01
61020,1.25E-01
61080,1.23E-01
61140,1.21E-01
61200,1.19E-01
61260,1.17E-01
61320,1.14E-01
61380,1.13E-01
61440,1.11E-01
61500,1.08E-01
61560,1.06E-01
61620,1.04E-01
61680,1.02E-01
61740,9.92E-02
61800,9.71E-02
61860,9.49E-02
61920,9.22E-02
61980,9.01E-02
62040,8.80E-02
62100,8.54E-02
62160,6.53E-02
62220,3.23E-02
62280,1.72E-02
62340,5.60E-03
62400,5.00E-03
62460,5.00E-03
62520,5.00E-03
62580,5.00E-03
62640,5.00E-03
62700,5.00E-03
62760,5.00E-03
62820,5.00E-03
62880,5.00E-03
62940,5.00E-03
63000,5.00E-03
63060,5.00E-03
63120,5.00E-03
63180,5.00E-03
63240,5.00E-03
63300,5.00E-03
63360,5.00E-03
63420,5.00E-03
63480,5.00E-03
63540,5.00E-03
63600,5.00E-03
63660,5.00E-03
63720,5.00E-03
63780,5.00E-03
63840,5.00E-03
63900,5.00E-03
63960,5.00E-03
64020,5.00E-03
64080,5.00E-03
64140,5.00E-03
64200,5.00E-03
64260,5.00E-03
64320,5.00E-03
64380,5.00E-03
64440,5.00E-03
64500,5.00E-03
64560,5.00E-03
64620,5.00E-03
64680,5.00E-03
64740,5.00E-03
64800,5.00E-03
64860,5.00E-03
64920,5.00E-03
64980,5.00E-03
65040,5.00E-03
65100,5.00E-03
65160,5.00E-03
65220,5.00E-03
65280,5.10E-03
65340,5.10E-03
65400,5.00E-03
65460,5.10E-03
65520,5.10E-03
65580,5.20E-03
65640,5.10E-03
65700,5.30E-03
65760,2.19E-02
65820,7.00E-02
65880,8.10E-02
65940,8.66E-02
66000,9.06E-02
66060,9.36E-02
66120,9.67E-02
66180,9.93E-02
66240,1.03E-01
66300,1.07E-01
66360,1.11E-01
66420,1.14E-01
66480,1.19E-01
66540,1.24E-01
66600,1.29E-01
66660,1.38E-01
66720,1.46E-01
66780,1.52E-01
66840,1.60E-01
66900,1.66E-01
66960,1.73E-01
67020,1.79E-01
