"BAP","DOC","EPS","NH4","NO3","O2","POCr","U:0","U:1","U:2","XAR","XDN","XI","XN","h","n","perm","rDN","rH","rN","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0024276,0.0010078,0.0050921,0.00011034,0.0021631,0.0081855,0.00021062,3.2651e-08,-2.6744e-07,7.2799e-25,0.0016491,0.00017186,0.00087453,0.00026662,4.0546e-05,0.35478,9.8235e-12,3.8187e-06,6.3262e-06,1.0891e-05,5,1,0.1875,0.002,-0.0125,0.145
0.0023763,0.001047,0.0094772,0.00012707,0.0021399,0.0082117,0.0002022,4.0638e-08,-3.0627e-07,1.9163e-25,0.0035008,0.00017945,0.0016265,0.00035493,4.8024e-05,0.35194,9.5027e-12,3.8276e-06,6.5468e-06,1.2063e-05,4,1,0.19,0.002,-0.01,0.145
0.0022601,0.0011287,0.021781,0.00014777,0.0020878,0.0081667,0.00018925,5.2109e-08,-3.6398e-07,-1.6125e-24,0.0093571,0.00018909,0.0037218,0.00044697,5.7069e-05,0.3438,8.6463e-12,3.8331e-06,6.8296e-06,1.3107e-05,3,1,0.1925,0.002,-0.0075,0.145
0.0020101,0.0013861,0.063924,0.00017534,0.0020082,0.0080793,0.00016705,6.5115e-08,-4.3016e-07,-2.1805e-24,0.03091,0.00019365,0.010856,0.00046558,7.0393e-05,0.31638,6.2813e-12,3.6676e-06,7.1118e-06,1.3049e-05,2,1,0.195,0.002,-0.005,0.145
0.0014561,0.002353,0.15676,0.00022344,0.0019867,0.0083519,0.00011999,7.0803e-08,-3.9994e-07,-1.0564e-24,0.075853,0.00016734,0.026804,0.00034455,9.9926e-05,0.25685,2.9062e-12,2.9572e-06,7.2991e-06,1.0834e-05,1,1,0.1975,0.002,-0.0025,0.145
0.00029058,0.0042691,0.21388,0.00027314,0.001916,0.0085084,2.3946e-05,6.7087e-08,-3.1498e-07,-3.118e-25,0.10234,0.0001315,0.036716,0.00022209,0.00017826,0.20288,9.8217e-13,2.2978e-06,8.7974e-06,8.962e-06,0,1,0.2,0.002,-5.9605e-10,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2025,0.002,0.0025,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.205,0.002,0.005,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2075,0.002,0.0075,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.21,0.002,0.01,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2125,0.002,0.0125,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.215,0.002,0.015,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2175,0.002,0.0175,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.22,0.002,0.02,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2225,0.002,0.0225,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.225,0.002,0.025,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2275,0.002,0.0275,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.23,0.002,0.03,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2325,0.002,0.0325,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.235,0.002,0.035,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2375,0.002,0.0375,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.24,0.002,0.04,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2425,0.002,0.0425,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.245,0.002,0.045,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.2475,0.002,0.0475,0.145
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.25,0.002,0.05,0.145
