R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R155	-800	-308	-800	-308	-800	-308	-800	-308	-24.817	-308	-6.762	-308	-0.372	-308
R156	-800	-310	-800	-310	-800	-310	-800	-310	-25.866	-310	-7.085	-310	-0.54	-310
R157	-800	-312	-800	-312	-800	-312	-800	-312	-26.969	-312	-7.417	-312	-0.71	-312
R158	-800	-314	-800	-314	-800	-314	-800	-314	-28.131	-314	-7.756	-314	-0.882	-314
R159	-800	-316	-800	-316	-800	-316	-800	-316	-29.356	-316	-8.105	-316	-1.056	-316
R160	-800	-318	-800	-318	-800	-318	-800	-318	-30.649	-318	-8.462	-318	-1.233	-318
R161	-800	-320	-800	-320	-800	-320	-800	-320	-32.016	-320	-8.829	-320	-1.411	-320
R162	-800	-322	-800	-322	-800	-322	-800	-322	-33.466	-322	-9.206	-322	-1.593	-322
R163	-800	-324	-800	-324	-800	-324	-800	-324	-35.011	-324	-9.594	-324	-1.777	-324
R164	-800	-326	-800	-326	-800	-326	-800	-326	-36.656	-326	-9.992	-326	-1.963	-326
R165	-800	-328	-800	-328	-800	-328	-800	-328	-38.411	-328	-10.402	-328	-2.153	-328
R166	-800	-330	-800	-330	-800	-330	-800	-330	-40.292	-330	-10.824	-330	-2.345	-330
R167	-800	-332	-800	-332	-800	-332	-800	-332	-42.32	-332	-11.258	-332	-2.541	-332
R168	-800	-334	-800	-334	-800	-334	-800	-334	-44.514	-334	-11.706	-334	-2.741	-334
R169	-800	-336	-800	-336	-800	-336	-800	-336	-46.888	-336	-12.167	-336	-2.943	-336
R170	-800	-338	-800	-338	-800	-338	-800	-338	-49.472	-338	-12.643	-338	-3.149	-338
R171	-800	-340	-800	-340	-800	-340	-800	-340	-52.315	-340	-13.134	-340	-3.36	-340
R172	-800	-342	-800	-342	-800	-342	-800	-342	-55.462	-342	-13.641	-342	-3.574	-342
R173	-800	-344	-800	-344	-800	-344	-800	-344	-58.945	-344	-14.165	-344	-3.792	-344
R174	-800	-346	-800	-346	-800	-346	-800	-346	-62.854	-346	-14.707	-346	-4.014	-346
R175	-800	-348	-800	-348	-800	-348	-800	-348	-67.318	-348	-15.267	-348	-4.241	-348
R176	-800	-350	-800	-350	-800	-350	-800	-350	-72.431	-350	-15.847	-350	-4.472	-350
R177	-800	-352	-800	-352	-800	-352	-800	-352	-78.406	-352	-16.449	-352	-4.708	-352
R178	-800	-354	-800	-354	-800	-354	-800	-354	-85.574	-354	-17.072	-354	-4.949	-354
R179	-800	-356	-800	-356	-800	-356	-800	-356	-94.333	-356	-17.718	-356	-5.196	-356
R180	-800	-358	-800	-358	-800	-358	-800	-358	-105.481	-358	-18.39	-358	-5.447	-358
R181	-800	-360	-800	-360	-800	-360	-800	-360	-120.732	-360	-19.088	-360	-5.704	-360
R182	-800	-362	-800	-362	-800	-362	-800	-362	-143.42	-362	-19.814	-362	-5.967	-362
R183	-800	-364	-800	-364	-800	-364	-800	-364	-181.403	-364	-20.569	-364	-6.236	-364
R184	-800	-366	-800	-366	-800	-366	-800	-366	-262.299	-366	-21.357	-366	-6.512	-366
R185	-800	-368	-800	-368	-800	-368	-800	-368	-476.142	-368	-22.178	-368	-6.793	-368
